Neuron 0 Epochs time;1,077630;0,863415;0,891868;0,851121;0,844666;0,835836;0,849625;0,856213;0,876267;0,851357;0,862023;0,883036;0,866027;0,852748;0,845493;0,832954;0,855667;0,855211;0,884154;0,851303;0,856840;0,866989;0,860530;0,854510;0,855775;0,842164;0,838297;0,859894;0,848837;0,860613;0,881867;0,873550;0,850432;0,845119;0,844886;0,874592;0,860103;0,856657;0,849692;0,846147;0,839112;0,857274;0,859525;0,852240;0,842157;0,860034;0,859237;0,851204;0,852426;0,856805;0,851170;0,867376;0,835822;0,882120;0,860484;0,846819;0,870176;0,847170;0,861859;0,848205;0,850256;0,849823;0,897667;0,852990;0,847210;0,846285;0,848620;0,835485;0,867414;0,860999;0,868372;0,848225;0,866620;0,854491;0,846975;0,886039;0,871155;0,852260;0,895003;1,216085;0,947576;0,905811;0,941433;0,892644;0,876717;0,853969;0,853985;0,867132;1,038028;0,856310;0,865552;0,859132;0,847752;0,883562;0,911267;0,876160;0,841005;0,867791;0,864778;0,864946;
Neuron 1 Epochs time;0,981245;0,855851;0,884865;0,864882;0,864248;0,852403;0,878997;0,878798;0,869190;0,874960;0,873963;0,863379;0,851312;0,861795;0,876053;0,883094;0,867293;0,847711;0,866973;0,871439;0,856543;0,871132;0,855679;0,857024;0,857495;0,859137;0,869481;0,857533;0,861340;0,856265;0,864212;0,883847;0,881485;0,860616;0,869880;0,864396;0,864493;0,860559;0,889279;0,859408;0,865676;0,868415;0,885916;0,863145;0,875335;0,860923;0,867102;0,872267;0,880140;0,860150;0,864132;0,869511;0,865556;0,852199;0,884499;0,875072;0,855664;0,855772;0,865508;0,855408;0,860537;0,865828;0,904934;0,880247;0,867525;0,860523;0,892838;0,850594;0,870112;0,865255;0,868877;0,875146;0,871966;0,862073;0,870635;0,861236;0,877491;0,911535;1,214032;1,018461;0,912805;0,898360;0,881560;0,874857;0,873136;0,897964;0,882760;0,973180;0,903071;0,871658;0,859222;0,869483;0,868301;0,876825;0,869488;0,887257;0,863327;0,865752;0,867361;0,781630;
Neuron 2 Epochs time;1,109267;0,894484;0,870206;0,844978;0,850939;0,855498;0,869585;0,874241;0,870110;0,856298;0,875604;0,866031;0,874703;0,877564;0,851932;0,893718;0,865671;0,858751;0,868727;0,869359;0,868909;0,863315;0,874846;0,882861;0,865542;0,868237;0,861887;0,869289;0,860931;0,868381;0,854326;0,883409;0,862387;0,852795;0,873584;0,880841;0,871959;0,890729;0,870201;0,872071;0,874732;0,874923;0,872814;0,913087;0,858330;0,869483;0,896251;0,863735;0,880266;0,872754;0,863917;0,879881;0,859986;0,903547;0,868015;0,867508;0,869279;0,852878;0,888480;0,902486;0,870516;0,932419;0,869185;0,884389;0,865037;0,880124;0,875468;0,886003;0,860105;0,877746;0,875183;0,869766;0,865825;0,879343;0,875449;0,863180;0,860005;0,892961;1,304566;0,909491;0,959951;0,910119;0,876123;0,858243;0,883833;0,881181;0,984335;0,912932;0,867517;0,867630;0,874285;0,875044;0,869396;0,869603;0,867426;0,881612;0,882377;0,876272;0,822518;0,697108;
Neuron 3 Epochs time;0,927420;0,868502;0,883455;0,870019;0,860195;0,892370;0,885172;0,874996;0,895413;0,869118;0,887627;0,876689;0,875405;0,868645;0,924975;0,872784;0,890588;0,884907;0,891133;0,870518;0,876717;0,894362;0,873654;0,889918;0,861850;0,892873;0,879308;0,901562;0,908891;0,895656;0,876580;0,863957;0,870576;0,886236;0,885688;0,891643;0,882717;0,866480;0,865574;0,891704;0,878808;0,872754;0,859049;0,871120;0,884916;0,879009;0,873472;0,881852;0,868329;0,867175;0,861249;0,868530;0,879611;0,882851;0,883121;0,876304;0,883386;0,883961;0,874506;0,874929;0,883084;0,916488;0,884953;0,883547;0,864095;0,875723;0,896001;0,872215;0,866357;0,864394;0,878968;0,889504;0,870443;0,882722;0,893987;0,880216;0,926272;1,170776;0,983952;0,912863;0,937876;0,889790;0,889421;0,887559;0,872706;0,883231;1,068810;0,886287;0,892116;0,888510;0,877240;0,863065;0,903122;0,867981;0,887720;0,888092;0,876082;0,860252;0,802795;0,621073;
Neuron 4 Epochs time;1,115479;0,879920;0,873701;0,877368;0,860528;0,862595;0,877655;0,877221;0,862858;0,875099;0,873040;0,884450;0,886253;0,888540;0,876160;0,902534;0,886774;0,877792;0,867289;0,870651;0,891689;0,875635;0,891667;0,906360;0,899677;0,885074;0,897493;0,866445;0,872389;0,871789;0,867001;0,879870;0,873266;0,875701;0,901910;0,889316;0,877862;0,880892;0,880449;0,867458;0,879760;0,884596;0,874985;0,880512;0,893262;0,867484;0,880850;0,870381;0,891475;0,881086;0,863131;0,875242;0,873623;0,868967;0,882230;0,869848;0,870875;0,900123;0,875303;0,905250;0,890173;0,922446;0,879408;0,869344;0,880502;0,892728;0,880584;0,886137;0,885169;0,862633;0,879914;0,884383;0,898195;0,899892;0,879796;0,876115;0,901809;1,291886;0,954387;0,924718;0,983395;0,909154;0,877792;0,881749;0,883751;0,950259;1,014735;0,897550;0,863890;0,891158;0,869523;0,869424;0,887124;0,887467;0,881086;0,884740;0,882494;0,836305;0,697576;0,581530;
Neuron 5 Epochs time;1,005267;0,891358;0,904246;0,879060;0,880405;0,883771;0,903415;0,881612;0,883081;0,891493;0,866080;0,872739;0,921039;0,876700;0,877061;0,867064;0,874268;0,884757;0,865338;0,892499;0,873910;0,868170;0,864950;0,874544;0,892993;0,900605;0,867193;0,868008;0,878743;0,879540;0,877607;0,868235;0,896991;0,886665;0,889611;0,882816;0,878004;0,888033;0,891820;0,870016;0,882069;0,885871;0,877518;0,879829;0,871952;0,890000;0,877231;0,881549;0,885071;0,888809;0,895371;0,887017;0,866442;0,876044;0,876867;0,885817;0,885018;0,865537;0,880131;0,894813;0,864127;0,915524;0,890939;0,894297;0,887273;0,876981;0,874124;0,876348;0,882317;0,890386;0,870430;0,883060;0,873363;0,895959;0,882561;0,873717;0,932734;1,281807;0,902382;0,956624;0,947103;0,891663;0,883151;0,887890;0,872693;0,948188;1,009345;0,890609;0,906881;0,886595;0,902322;0,876182;0,901635;0,886695;0,891853;0,868255;0,876064;0,816827;0,718095;0,613490;
Neuron 6 Epochs time;1,064084;0,880233;0,883940;0,941113;0,897701;0,877920;0,887182;0,877242;0,886939;0,886989;0,872830;0,863291;0,887701;0,875787;0,880728;0,879634;0,883102;0,892003;0,885603;0,904212;0,878578;0,886873;0,887616;0,873954;0,880711;0,911145;0,873463;0,881302;0,889750;0,875296;0,876396;0,875766;0,884329;0,904645;0,898537;0,873873;0,886841;0,889831;0,884739;0,895404;0,876130;0,878189;0,876359;0,883237;0,878678;0,872069;0,883922;0,891418;0,892314;0,870621;0,891672;0,888776;0,876868;0,870987;0,877510;0,888721;0,899875;0,883697;0,888846;0,891245;0,951978;0,890057;0,887293;0,877894;0,896506;0,870100;0,875076;0,887805;0,880393;0,884682;0,902184;0,879947;0,878337;0,911789;0,896589;0,889696;0,944471;1,274221;0,918014;0,968516;0,920706;0,910240;0,890428;0,876341;0,892839;1,070122;0,895985;0,902506;0,901596;0,897771;0,890266;0,894631;0,895936;0,889929;0,875666;0,894406;0,882309;0,762791;0,618389;0,515929;
Neuron 7 Epochs time;0,968510;0,884841;0,870167;0,892931;0,908082;0,910542;0,942157;0,896545;0,895030;0,914848;0,915351;0,911536;0,917236;0,918144;0,920007;0,907413;0,904232;0,902382;0,911269;0,911362;0,906985;0,917681;0,903944;0,906770;0,903755;0,916124;0,906129;0,922420;0,893007;0,914796;0,929094;0,915557;0,914267;0,906358;0,904783;0,907110;0,905263;0,909632;0,910936;0,897169;0,918906;0,920374;0,900175;0,925966;0,900799;0,898363;0,903458;0,911289;0,922206;0,919114;0,907747;0,908155;0,923321;0,912616;0,918038;0,921033;0,907663;0,904412;0,906574;0,931412;0,910374;0,911490;0,907762;0,905315;0,912879;0,916828;0,931518;0,900557;0,896845;0,896864;0,898578;0,906482;0,897552;0,914701;1,043738;1,329651;0,954563;0,955214;0,927055;0,931241;0,921630;0,914885;0,923185;1,018144;0,930046;0,904090;0,914765;0,915147;0,920441;0,902214;0,905085;0,922075;0,916968;0,907658;0,881125;0,767428;0,609869;0,466007;0,455891;0,459792;
Neuron 8 Epochs time;0,452397;0,442546;0,443644;0,440947;0,456791;0,433496;0,445170;0,440124;0,451548;0,442147;0,438093;0,436214;0,449294;0,437849;0,443321;0,442406;0,451909;0,447575;0,441886;0,445941;0,439537;0,452720;0,450101;0,456383;0,447219;0,460489;0,474400;0,462531;0,453051;0,459287;0,493722;0,434754;0,445221;0,443504;0,534030;0,550350;0,455576;0,441364;0,427828;0,428236;0,423784;0,436446;0,448209;0,437005;0,446228;0,431977;0,434994;0,445891;0,429585;0,434271;0,430626;0,434262;0,437197;0,438818;0,425869;0,429861;0,428930;0,432271;0,438959;0,430625;0,436681;0,429372;0,433754;0,434328;0,438958;0,434814;0,427862;0,426209;0,432162;0,433196;0,431190;0,424494;0,421719;0,428382;0,426148;0,427843;0,433709;0,439192;0,435529;0,430495;0,434295;0,441369;0,435148;0,432513;0,436880;0,434343;0,431733;0,429342;0,428627;0,434962;0,427907;0,438592;0,426828;0,429050;0,431494;0,439548;0,431591;0,431339;0,428660;0,436253;
Neuron 9 Epochs time;0,449831;0,462055;0,445490;0,443527;0,450955;0,448463;0,447210;0,443307;0,441957;0,457417;0,444484;0,444344;0,455686;0,446667;0,450522;0,456341;0,446289;0,444898;0,477999;0,450557;0,458415;0,454390;0,471440;0,473502;0,456661;0,472198;0,488343;0,447130;0,446798;0,440943;0,452278;0,581996;0,530229;0,453903;0,436293;0,434685;0,429899;0,437326;0,452569;0,444600;0,442143;0,438388;0,444738;0,446532;0,441493;0,436958;0,437435;0,434996;0,439067;0,441393;0,438040;0,438204;0,428273;0,440088;0,444985;0,438439;0,437596;0,438701;0,436520;0,436476;0,443646;0,441860;0,433035;0,429862;0,429291;0,442577;0,432467;0,429823;0,426614;0,433318;0,432715;0,428300;0,441512;0,443115;0,440452;0,434119;0,437748;0,444489;0,439667;0,437807;0,444203;0,438018;0,438029;0,438686;0,432068;0,435356;0,433677;0,448305;0,430741;0,433065;0,439296;0,443178;0,436804;0,440350;0,438771;0,438231;0,424244;0,429957;0,424353;0,415008;
