Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error
291,561177;254,424278;269,655515;205,727498;114,553586;189,783841;136,244166;94,411308;377,282622;495,708589
348,536569;302,243195;208,152319;183,107309;129,740379;88,768348;105,685298;70,956356;326,580453;278,782367
328,5245;233,900143;211,537056;191,26614;101,481778;81,193202;83,376893;74,121036;334,951052;294,875592
268,3357;436,469413;239,717201;170,889534;139,765077;125,695759;71,593926;76,238164;402,791238;411,451208
257,05738;207,819532;181,025335;117,700696;149,206306;174,182362;73,438501;59,242302;521,715858;308,143907
356,502867;196,65158;195,408391;154,486738;123,442349;100,305706;71,862972;104,618102;513,740852;535,930658
281,274167;279,43139;169,469886;168,423373;140,010324;96,297455;69,593416;72,986754;313,828971;427,743592
311,987072;371,489852;183,949823;229,203908;114,922765;103,94174;59,355818;65,353573;350,719621;317,483762
307,59079;370,954491;192,111241;157,333289;149,491941;161,137347;84,587817;69,266008;348,311291;357,26033
384,100592;278,086544;190,060811;191,840189;149,163733;146,424088;57,94781;58,362349;312,251261;245,588469
280,250492;242,954817;208,800176;147,068128;141,849491;115,762376;60,581705;62,05981;330,709016;299,165531
234,023521;190,632964;183,776305;195,580726;144,156443;90,479786;63,311952;78,772276;281,039921;360,278926
177,70522;137,51353;186,924402;184,045556;111,229704;129,58834;68,069958;59,004019;294,382621;233,144718
119,848895;142,305731;194,293918;226,859521;137,90099;106,091959;63,5716;57,795466;288,221405;231,663599
112,021655;105,350994;183,7118;167,066351;142,799439;114,732617;68,096622;107,321682;217,30158;191,016153
120,24262;173,477904;205,734416;142,236882;191,243999;81,452465;71,625433;81,112064;225,605707;153,540753
171,99691;231,307903;176,746761;153,801209;144,044951;196,803456;89,967421;76,979018;197,392224;193,637114
220,70605;204,668979;143,85025;175,357873;132,712215;149,454795;65,098165;81,527504;199,711253;147,556485
202,599802;264,092448;170,978103;205,589665;141,948363;192,434302;67,170195;61,10315;279,818287;370,653526
230,376151;261,570963;201,909715;188,900671;130,567467;87,009092;69,576626;68,333053;637,387816;450,283034
236,854657;295,431532;176,906022;233,434215;101,432643;135,56539;82,350156;88,698179;584,893902;718,1435
285,153437;268,167551;197,914134;224,633055;166,381688;118,946374;76,557116;86,510584;448,412995;358,398427
348,517468;228,308384;234,037803;216,243049;118,648613;213,961539;75,342177;72,794943;428,307655;604,837832
383,207339;308,614178;221,204878;206,830948;172,000801;145,129555;88,189031;66,901929;336,703656;403,043211
292,035715;356,708513;180,158402;234,405231;150,27538;99,02924;87,65399;86,690728;475,354551;566,416309
312,636055;318,053252;176,663072;215,393303;169,472707;131,180423;78,07593;64,872761;443,739561;417,031287
282,008113;246,377314;166,209814;135,64708;141,963892;110,917351;64,671094;70,173628;374,952938;364,721288
284,032955;376,814262;147,123246;194,328444;165,373934;106,097877;59,409125;96,108111;350,20013;271,615234
369,16234;413,031507;152,18806;148,24444;160,239785;209,430845;58,128283;61,95991;397,760655;296,959027
284,217737;423,389974;163,097873;143,385526;98,444963;106,457164;59,373768;68,098572;401,539472;388,10856
303,5932;193,435886;150,774271;122,446965;143,042709;86,639094;86,222006;75,721492;308,464939;424,949327
286,092035;436,310554;153,15429;130,35685;103,208968;119,09303;71,240719;90,075251;373,967144;203,730053
354,925392;222,028388;153,934049;105,70792;119,760995;160,091645;72,067121;58,717155;273,879437;318,037316
323,010119;300,516278;143,076492;173,667866;123,246361;197,630574;56,604644;68,113393;278,640555;279,842587
329,336749;310,58078;159,705705;142,775159;127,657537;83,62591;60,711839;60,594173;309,926877;225,749893
297,082423;409,840626;139,942572;175,264311;156,684206;134,781823;79,162406;74,757414;253,845577;206,734699
315,984823;247,289095;182,581467;191,811855;200,152866;156,71676;66,517503;65,500571;218,900346;209,312822
254,298193;323,758489;167,566234;205,420216;146,33275;93,141104;71,297138;64,665682;223,079355;230,314748
276,025535;314,271808;156,99013;196,996169;141,098216;89,444472;70,514917;57,865362;250,236543;255,176178
312,185729;385,06564;151,23813;135,488552;172,935407;136,407571;66,315336;91,470956;180,454165;230,349618
227,335261;246,124609;125,988919;208,620215;140,139045;190,035493;53,061093;53,235971;274,479037;178,876043
341,907689;389,300704;125,266369;141,413977;109,063736;173,841053;83,85519;75,428764;233,478694;251,424907
333,943141;273,67005;119,274696;157,212513;141,832699;144,027992;49,910787;50,664157;256,697081;146,662642
281,530954;252,611095;129,342142;169,347372;193,391523;128,578626;56,000286;68,008223;203,116291;168,112046
276,203694;290,638991;130,493971;217,243941;101,130896;121,551058;50,405256;72,248983;225,411106;211,401521
277,541435;223,042878;157,278453;129,641518;110,524052;185,166192;66,596305;75,207737;273,628024;248,696392
276,611548;373,601714;148,979792;130,177136;109,601381;125,725136;62,017896;66,159837;159,654042;248,017216
239,742244;217,133459;104,810567;170,752771;104,06694;173,547162;61,138794;61,444712;161,008785;166,721204
202,173215;203,041368;114,93362;123,166239;119,906062;192,011987;60,267899;58,061625;145,021033;202,393537
257,199923;241,099638;154,856475;111,71092;138,768669;138,752529;72,106672;66,401519;192,541889;167,000613
296,704777;226,927444;150,698562;176,960978;121,061265;119,329863;51,105524;57,88368;175,091797;154,840783
240,026639;249,709619;185,50911;148,371919;142,470132;135,974302;59,625293;47,082347;232,851469;193,568511
282,669014;242,105492;135,103102;153,84959;135,985327;109,76578;54,609833;64,005385;144,734991;169,821349
229,099215;227,680552;141,740283;145,985974;172,111455;89,034882;52,089893;44,475059;163,602194;177,694729
221,162751;265,117568;129,754628;134,377653;112,114776;84,431266;55,12079;49,744473;172,415435;229,294935
177,077581;244,478358;152,488546;175,289972;153,174484;175,97285;61,477747;43,571822;164,099175;195,823994
236,391688;216,981625;151,838627;147,00953;134,722484;167,332854;59,337161;60,007685;176,058803;117,763102
259,529794;240,580398;141,296156;92,650445;119,634109;110,173457;46,223162;70,232504;196,468795;160,180523
