Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error
0,481571;0,504673;0,049276;0,05334;0,046081;0,050245;0,090677;0,082907;0,298196;0,360121
0,504186;0,519228;0,049467;0,052668;0,04607;0,045837;0,07922;0,074476;0,495079;0,507183
0,495668;0,488037;0,049729;0,051118;0,047682;0,045626;0,073481;0,072274;0,413135;0,341372
0,462353;0,449013;0,046095;0,046907;0,04906;0,048111;0,070013;0,068172;0,308212;0,294163
0,42601;0,41293;0,046685;0,045959;0,048425;0,049591;0,071845;0,067627;0,281362;0,265959
0,387063;0,374881;0,049634;0,046496;0,046456;0,046639;0,06968;0,069702;0,25241;0,244109
0,350257;0,323301;0,046818;0,042183;0,047973;0,045336;0,071836;0,06623;0,241687;0,227815
0,308013;0,294035;0,049041;0,044834;0,043544;0,048228;0,069409;0,064189;0,233553;0,232753
0,272088;0,253267;0,045731;0,042872;0,047264;0,046025;0,066182;0,066901;0,216322;0,208755
0,233529;0,221953;0,046745;0,042843;0,044925;0,048786;0,067597;0,066064;0,208191;0,214702
0,203321;0,195052;0,043803;0,044237;0,045422;0,044052;0,067086;0,064538;0,19868;0,185874
0,180108;0,168185;0,045594;0,039321;0,044922;0,044194;0,062604;0,060542;0,177878;0,160986
0,159726;0,156463;0,045842;0,041074;0,041624;0,043657;0,064117;0,064239;0,173496;0,165933
0,15324;0,138055;0,041728;0,045044;0,04502;0,045031;0,06294;0,061572;0,157299;0,149616
0,137596;0,12939;0,045022;0,044115;0,042615;0,045657;0,067139;0,059429;0,15041;0,144655
0,132895;0,132248;0,044334;0,040817;0,04203;0,040023;0,060879;0,063501;0,136974;0,144834
0,124235;0,125819;0,041565;0,043753;0,042017;0,041735;0,060605;0,062237;0,143666;0,146809
0,12359;0,119974;0,043814;0,041683;0,042967;0,040655;0,061609;0,060637;0,151939;0,170828
0,124236;0,127324;0,039553;0,041516;0,043381;0,043437;0,062037;0,061316;0,186913;0,182321
0,116327;0,114865;0,040248;0,043823;0,041083;0,039186;0,058623;0,061259;0,195755;0,195076
0,116718;0,110461;0,042137;0,041303;0,042745;0,042195;0,062495;0,066556;0,179386;0,169269
0,113797;0,113139;0,039315;0,040545;0,039732;0,041485;0,057738;0,058853;0,162499;0,136004
0,11057;0,111228;0,040908;0,038095;0,042874;0,041402;0,061304;0,05964;0,141502;0,137494
0,111964;0,114098;0,042978;0,04369;0,042351;0,042162;0,060188;0,056372;0,131904;0,128518
0,10987;0,110476;0,040873;0,037508;0,041553;0,040836;0,053638;0,056504;0,116696;0,116342
0,106562;0,104385;0,040398;0,040409;0,039585;0,039177;0,057418;0,057212;0,112036;0,111672
0,106973;0,104611;0,039723;0,042609;0,042731;0,038409;0,05953;0,060378;0,108841;0,109032
0,108318;0,102394;0,041242;0,041258;0,039593;0,040578;0,054157;0,055226;0,105002;0,104034
0,103164;0,102273;0,037536;0,039662;0,039962;0,040631;0,056477;0,052442;0,102423;0,101581
0,104809;0,108044;0,04015;0,039311;0,038721;0,038159;0,055962;0,055962;0,095191;0,101159
0,105873;0,102597;0,03948;0,038336;0,037428;0,03939;0,056509;0,057052;0,094725;0,096496
0,10135;0,103954;0,038373;0,039278;0,039479;0,039614;0,05398;0,055243;0,091684;0,092405
0,105021;0,103828;0,038773;0,039042;0,039492;0,037708;0,055534;0,055819;0,091164;0,097862
0,099351;0,094934;0,038501;0,040827;0,041258;0,039181;0,052704;0,05523;0,089789;0,083567
0,097484;0,097721;0,038766;0,0389;0,036217;0,037103;0,055824;0,049841;0,088682;0,084946
0,099477;0,095997;0,035873;0,033678;0,037462;0,03538;0,051339;0,052083;0,082079;0,082801
0,094506;0,099128;0,038057;0,03227;0,036575;0,036728;0,051869;0,054653;0,081324;0,079446
0,094675;0,09829;0,036329;0,036417;0,037364;0,041738;0,053749;0,05294;0,080746;0,080769
0,09607;0,096949;0,038287;0,033671;0,037999;0,038723;0,051601;0,049024;0,083744;0,076226
0,095298;0,095002;0,037408;0,031765;0,038047;0,039168;0,053559;0,055099;0,078091;0,074821
0,096403;0,09226;0,037134;0,034319;0,040579;0,038643;0,051283;0,050799;0,072494;0,076776
0,093035;0,091698;0,036843;0,035632;0,038904;0,038041;0,050221;0,049156;0,070584;0,072675
0,09633;0,089279;0,036432;0,039907;0,037862;0,03907;0,051078;0,04899;0,07415;0,073212
0,090772;0,088865;0,03679;0,036099;0,036981;0,036521;0,051309;0,051986;0,071696;0,067462
0,090873;0,088806;0,035139;0,035829;0,038668;0,041249;0,04929;0,050682;0,073475;0,070498
0,08802;0,091079;0,034062;0,03244;0,036919;0,034909;0,050103;0,045203;0,06809;0,068498
0,088525;0,095425;0,03572;0,038719;0,037589;0,038704;0,051823;0,048475;0,067106;0,068343
0,087289;0,084055;0,03515;0,040374;0,035272;0,034957;0,047473;0,049944;0,067406;0,067251
0,086665;0,083033;0,033355;0,036255;0,037396;0,036243;0,047539;0,052595;0,066882;0,068367
0,087615;0,090737;0,034767;0,038505;0,039177;0,037555;0,047531;0,05079;0,065159;0,065063
0,085602;0,078408;0,034714;0,031783;0,039112;0,037046;0,04794;0,051612;0,063621;0,064751
0,085373;0,087647;0,035278;0,035949;0,035587;0,037128;0,046954;0,050057;0,061557;0,063836
0,082225;0,084281;0,033081;0,033296;0,038402;0,037973;0,046801;0,04635;0,064901;0,061264
0,08157;0,083543;0,036766;0,037946;0,035562;0,033761;0,046611;0,050543;0,060435;0,064567
0,08562;0,077939;0,03366;0,03368;0,037125;0,034201;0,046689;0,053562;0,060964;0,065165
0,082051;0,087687;0,034554;0,032721;0,035551;0,038389;0,046794;0,048835;0,063054;0,060048
0,08005;0,079904;0,035497;0,033101;0,035011;0,035186;0,047817;0,047124;0,06112;0,062435
0,083311;0,077599;0,033789;0,035162;0,033819;0,032898;0,044428;0,047626;0,059784;0,061224
0,079582;0,080206;0,035108;0,034336;0,036619;0,036062;0,04284;0,044568;0,061302;0,056909
0,079429;0,078287;0,03371;0,035886;0,03359;0,036212;0,043958;0,046288;0,057524;0,056754
0,078604;0,07923;0,03533;0,030792;0,036585;0,034092;0,044513;0,0477;0,058515;0,057967
0,078412;0,07482;0,034019;0,035816;0,036166;0,036491;0,04731;0,048266;0,059012;0,057734
0,078671;0,075761;0,034938;0,035016;0,032788;0,034148;0,045399;0,044668;0,057145;0,059678
0,078428;0,080479;0,034088;0,035657;0,035444;0,035915;0,045827;0,046616;0,058241;0,055221
0,078531;0,072112;0,034468;0,033042;0,035044;0,036766;0,044612;0,045998;0,054349;0,059817
0,076694;0,071372;0,03444;0,033027;0,033751;0,033296;0,04708;0,043813;0,058186;0,05893
0,072909;0,074098;0,032479;0,031761;0,037913;0,033278;0,042812;0,042576;0,057926;0,054957
0,070805;0,072061;0,032852;0,030835;0,035301;0,034223;0,042833;0,043234;0,053474;0,053349
0,072665;0,073186;0,033087;0,033276;0,034733;0,034932;0,044326;0,047101;0,053123;0,054511
0,072121;0,072246;0,031342;0,034307;0,036024;0,031422;0,041646;0,044996;0,05602;0,053222
0,072045;0,075461;0,033086;0,030858;0,035775;0,038027;0,041049;0,040808;0,049718;0,050153
0,07099;0,06987;0,034151;0,03615;0,034322;0,037447;0,042154;0,042397;0,053457;0,053668
0,070264;0,07247;0,032757;0,032575;0,035722;0,035239;0,044098;0,048951;0,051522;0,053217
0,070115;0,067303;0,033251;0,033511;0,034822;0,036401;0,044517;0,038534;0,052546;0,052664
0,069375;0,067947;0,032811;0,035521;0,035146;0,034852;0,04173;0,042278;0,05476;0,052743
0,066015;0,069102;0,034662;0,031484;0,033426;0,035914;0,042022;0,040621;0,049703;0,046823
0,069888;0,06724;0,034663;0,030903;0,032342;0,035638;0,042146;0,036209;0,049213;0,049477
0,066348;0,07207;0,033104;0,029781;0,032621;0,03436;0,042013;0,039266;0,050038;0,048257
0,068555;0,06218;0,03325;0,032643;0,034536;0,035465;0,0423;0,03865;0,050046;0,047754
0,065668;0,067092;0,032147;0,028947;0,036608;0,034261;0,042725;0,038853;0,050528;0,046868
0,062696;0,064923;0,032379;0,029564;0,033493;0,034364;0,04056;0,039993;0,051859;0,050837
0,063879;0,062338;0,03152;0,03445;0,034049;0,033338;0,041344;0,035638;0,047988;0,049529
0,06496;0,066227;0,031275;0,033883;0,033715;0,033012;0,037956;0,033421;0,048279;0,047716
